centrality,generation_formed,smiles_str
0.0,2,C(C(CO)O)(CCO)=O
0.0,2,C(C(CO)O)(CC(C(C=O)O)O)=O
0.0,2,C(C(CO)O)(CC(CO)(C)O)=O
0.0,2,C(CO)(CC(C)(C(CO)O)O)=O
0.0,2,C(C)(C(C(C)(C(CO)O)O)O)=O
0.0,2,C(C(CO)O)(CC(C)O)=O
0.0,2,C(CC(C)(C(CO)O)O)=O
0.0,2,C(C(CO)O)(CC(CO)(CO)O)=O
0.0,2,C(CO)(C(C(C)(C(CO)O)O)O)=O
0.0,2,C(CO)(C(C(C)O)C(C=O)O)=O
0.0,2,C(CC(C=O)O)(C(C(C)O)O)=O
0.0,2,C(CC(CO)(CC(C=O)O)O)=O
0.0,2,C(CO)(C(CO)CO)=O
0.0,2,C(CCO)=O
0.0,2,C(C(CO)C(C(C(CO)O)=O)O)=O
0.0,2,C(C(CC(C(C(CO)O)=O)O)O)=O
0.0,2,C(C(CO)O)(C(CO)O)=O
0.0,2,C(C(CO)C1(C(C(CO1)O)O)O)=O
0.0,2,C1(C(CO)(C(C(C1CO)O)O)O)=O
0.0,2,C(C(C(C(C=O)O)O)O)(CCO)=O
0.0,2,C(C(C(C(C(CO)=O)CO)O)O)=O
0.0,2,C(C(C(CO)(C)O)O)(CCO)=O
0.0,2,C(CO)(C(CO)C(CO)(C)O)=O
0.0,2,C(CO)(CC(CO)(CCO)O)=O
0.0,2,C(C)(C(C(CO)(CCO)O)O)=O
0.0,2,C(C(C(C)O)O)(CCO)=O
0.0,2,C(CO)(C(CO)C(C)O)=O
0.0,2,C(CC(CO)(CCO)O)=O
0.0,2,C(C(C(CO)(CO)O)O)(CCO)=O
0.0,2,C(CO)(C(CO)C(CO)(CO)O)=O
0.0,2,C(CO)(C(C(CO)(CCO)O)O)=O
0.0,2,C(C(C(C=O)O)O)(CC(C)O)=O
0.0,2,C(CC(C)(C(C(C=O)O)O)O)=O
0.0,2,C(CC(C(C=O)O)O)=O
0.0,2,C(C(C(C(C(CO)=O)O)O)O)=O
0.0,2,C(CO)(CC(CO)(C)O)=O
0.0,2,C(C)(C(C(CO)(C)O)O)=O
0.0,2,C(C(C(C(CC(CO)=O)O)O)O)=O
0.0,2,C(C(C(C(C(C(C)=O)O)O)O)O)=O
0.0,2,C(CO)(CC(C)O)=O
0.0,2,C(C)(C(C(C)O)O)=O
0.0,2,C(CC(C)(CO)O)=O
0.0,2,C(CO)(CC(CO)(CO)O)=O
0.0,2,C(C)(C(C(CO)(CO)O)O)=O
0.0,2,C(CO)(C(C(CO)(C)O)O)=O
0.0,2,C(CO)(CC(CO)(C(CO)O)O)=O
0.0,2,C(C)(C(C(CO)(C(CO)O)O)O)=O
0.0,2,C(C(C(CO)(C)O)O)(C(CO)O)=O
0.0,2,C(CC(C)O)=O
0.0,2,C(CC(CO)(CO)O)=O
0.0,2,C(CO)(C(C(C)O)O)=O
0.0,2,C(CC(CO)(C(CO)O)O)=O
0.0,2,C(C(C(C)O)O)(C(CO)O)=O
0.0,2,C(CO)(C(C(CO)(CO)O)O)=O
0.0,2,C(C(C(C(C(CO)O)O)=O)CO)=O
0.0,2,C(C(C(C(CO)C(CO)O)=O)O)=O
